46,the application of fuzzy subset theory to clustering and information retrieval problems this includes performance evaluation and automatic indexing considerations 5 a in 1653 is
47,the use of bayesian decision models to optimize information retrieval system performance this includes stopping rules to determine when a user should cease scanning the output of a retrieval search 5 and 4 3134 1699
48,the use of computer science principles eg data structures numerical methods in generating optimization eg linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms 5 2226 for 1666 1729
49,the role of information retrieval in knowledge based systems ie expert systems 2127 4 5 a and
50,parallel processors in information retrieval 5 the and a 2714
51,parallel processors and paging algorithms 5 the 3075 of a
52,modelling and simulation in agricultural ecosystems the of 5 a 2767
53,mathematical induction group theory integers modulo m probability binomial coefficients binomial theorem homomorphism morphism transitivity relations relation matrix syracuse university 313 link hall syracuse n 13210 5 procedures 2981 data communication
54,semantics of programming languages including abstract specifications of data types denotational semantics and proofs of correctness hoare a dijkstra e university of massachusetts amherst ma 01003 the 5 2958 6 in
55,anything dealing with star height of regular languages or regular expressions or regular events the 5 2650 4 a
56,articles relation the algebraic theory of semigroups and monoids to the study of automata and regular languages 5 1678 a 6 2323
57,abstracts of articles j backus can programming be liberated from the von neumann style a functional style and its algebra of programs cacm 21 re millo r lipton a perlis letter to acm forum cacm 22 1979 629630 backus j de millo r lipton r perlis a 3077 4 5 3140 in
58,algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest students t test wilcoxon and sign tests multivariate and univariate components can be included the 5 a 1411 1293
59,dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems the 5 6 1324 a
60,hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc 4 2377 2046 6 5
61,information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or cocitations the vector space model boolean search methods using inverted files feedback etc salton g 1927 5 6 and a
62,results relating parallel complexity theory both for prams and uniform circuits 6 the 1601 of 5
63,algorithms for parallel computation and especially comparisons between parallel and sequential algorithms 6 the 1601 of 5
64,list all articles on el1 and ecl el1 may be given as el1 i dont remember how they did it the 5 6 of 2513
